,rape,robbery,assault,burglary,car.theft
Anaheim,0.365688488,0.066993464,0.111731844,0.665465465,0.03372093
Baltimore,0.659142212,0.83496732,0.930167598,0.511711712,0.410465116
Boston,0.205417607,0.135620915,0.089385475,0.333333333,0.739534884
Buffalo,0.180586907,0.150326797,0.134078212,0.218018018,0.11627907
Chicago,0.44469526,0.506535948,0.474860335,0.198798799,0.418604651
Cincinatti,0.250564334,0.109477124,0.122905028,0.248048048,0
Cleveland,0.293453725,0.383986928,0.19273743,0.196396396,1
Dallas,0.796839729,0.25,0.768156425,0.64984985,0.26627907
Detroit,0.573363431,0.973856209,0.446927374,0.893093093,0.476744186
Houston,0.483069977,0.460784314,0.335195531,0.62042042,0.456976744
Los Angeles,1,0.41503268,0.860335196,0.89009009,0.694186047
Miami,0.255079007,0.611111111,1,0.816216216,0.503488372
Milwaukee,0.058690745,0,0,0,0.06627907
Minneapolis,0.250564334,0.205882353,0.072625698,0.41981982,0.310465116
New York,0.320541761,1,0.622905028,0.793993994,0.696511628
Newark,0.334085779,0.45751634,0.332402235,0.49009009,0.370930233
Paterson,0,0.075163399,0,0.18978979,0.16627907
Philadelphia,0.214446953,0.196078431,0.167597765,0.153153153,0.21627907
Pittsburgh,0.187358916,0.150326797,0.125698324,0.118318318,0.219767442
St Louis,0.64785553,0.370915033,0.391061453,0.575975976,0.572093023
San Francisco,0.83972912,0.482026144,0.455307263,1,0.708139535
San Diego,0.309255079,0.065359477,0.120111732,0.307507508,0.093023256
Seattle,0.408577878,0.181372549,0.142458101,0.887087087,0.231395349
Washington,0.390519187,0.736928105,0.472067039,0.560960961,0.487209302
